sirket_adi,sektor,tip,resmi_ad,gercek_sektor,telefon,web,lat,lon
10 ARALIKa MESLEKİ VE TEKNİK ANADOLU LİSESİ MÜDÜRLÜĞÜ,Eğitim,Kamu,,,,,0.0,
112 ACİL ÇAĞRI MERKEZİ MÜDÜRLÜĞÜ,Hizmet,Kamu,İstanbul 112 Acil Çağrı Merkezi Müdürlüğü,"Arama kurtarma, Çağrı merkezleri",+90 212 495 73 22,Yok,41.094156,28.948158
19 MAYIS BELEDİYE BAŞKANLIĞI,Kamu,Kamu,19 Mayıs Belediyesi,"Belediyeler, Devlet Daireleri, Belediye ve kamu hizmetleri merkezi",+90 362 511 44 88,http://www.19mayis.bel.tr/,41.495499,36.074036
19 MAYIS KAYMAKAMLIĞI,Kamu,Kamu,Ondokuz Mayıs Kaymakamlığı,"Belediyeler, Devlet Daireleri, Devlet kurumları ve bakanlıklar",+90 362 511 31 00,Yok,41.494058,36.081139
24 SAAT SİGORTA ARACILIK HİZMETLERİ LTD. ŞTİ.,Finansal Hizmetler,Özel,Mave Sigorta Aracilik Hizmetleri Ltd. Sti,Sigorta şirketleri,+90 543 893 77 33,Yok,37.193569,40.588811
2X YAZILIM SANAYİ TİCARET LTD. ŞTİ.,Bilişim ve İletişim,Özel,,,,,0.0,
5 BİLİŞİM BİLGİSAYAR-İLETİŞİM VE ARACILIK HİZMETLERİ,Kamu,Özel,,,,,0.0,
5N1K MÜHENDİSLİK VE MÜŞAVİRLİK A.Ş.,Mühendislik ve Müşavirlik,Özel,,,,,0.0,
7S SİGORTA ARACILIK HİZMETLERİ LTD. ŞTİ.,Mali,Özel,,,,,0.0,
A D TASARIM MİMARLIK UYGULAMA DANIŞMANLIK İNŞAAT SANAYİ TİCARET LTD. ŞTİ.,İnşaat,Özel,,,,,0.0,
A.N.K. ALÜMİNYUM METAL PROMOSYON GIDA BİLİŞİM İNŞAAT TURİZM SANAYİ VE TİCARET LTD. ŞTİ.,Sanayi,Özel,,,,,0.0,
A.R.K. ELEKTRİK ELEKTRONİK ENERJİ MÜHENDİSLİK İNŞAAT TAAHHÜT SANAYİ VE TİCARET LTD. ŞTİ.,Elektrik ve Elektronik,Özel,,,,,0.0,
A1 TASARIM MİMARLIK MÜH. İNŞ. İML. SAN. VE TİC. LTD. ŞTİ.,Mimarlık ve İnşaat,Özel,,,,,0.0,
A101 YENİ MAĞAZACILIK A.Ş.,Perakende,Özel,A101 Genel Müdürlük,Yönetim ofisi,+90 850 822 99 00,Yok,41.030357,29.047073
A2 TEKNOLOJİ LTD. ŞTİ.,Bilgi Teknolojileri ve İnternet,Özel,,,,,0.0,
AB OFİSİ-HAYATBOYU ÖĞRENME PROGRAM KOORDİNATÖRLÜĞÜ,Hizmet Sektörü,Kamu,,,,,0.0,
ABA TEHLİKELİ MADDE GÜVENLİK DANIŞMANLIĞI TİCARET LTD. ŞTİ.,Hizmet,Özel,,,,,0.0,
ABALIOĞLU LEZİTA GIDA SANAYİ A.Ş.,Gıda Sanayii,Özel,,,,,0.0,
ABANA BELEDİYE BAŞKANLIĞI,Kamu,Kamu,Abana Belediyesi,"Belediyeler, Devlet Daireleri",+90 366 564 11 65,Yok,41.978638,34.008058
ABANA İLÇE DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,,,,,0.0,
ABANA KAYMAKAMLIĞI,Kamu,Kamu,Abana Kaymakamlığı,"Belediyeler, Devlet Daireleri",+90 366 564 10 21,Yok,41.978398,34.008964
ABANT İZZET BAYSAL ÜNİVERSİTESİ BOLU İZZET BAYSAL EĞİTİM VE ARAŞTIRMA HASTANESİ BAŞHEKİMLİĞİ,Eğitim ve Araştırma,Kamu,Abat İzzet Baysal Üniversitesi Bolu İzzet Baysal Eğitim ve Araştırma Hastanesi,"Hastaneler, Poliklinikler",+90 374 253 46 56,http://izzetbaysaleah.saglik.gov.tr/,40.720223,31.526155
ABANT İZZET BAYSAL ÜNİVERSİTESİ BOLU İZZET BAYSAL FİZİK TEDAVİ VE REHABİLİTASYON EĞİTİM VE ARAŞTIRMA HASTANESİ BAŞHEKİMLİĞİ,Kamu,Kamu,Abant İzzet Baysal Üniversitesi Bolu İzzet Baysal Fizik Tedavi ve Rehabilitasyon Eğitim ve Araştırma Hastanesi Üniversite Binası,"Uzmanlık hastaneleri, Tıbbi rehabilitasyon merkezleri",+90 374 262 84 45,https://boluftreah.saglik.gov.tr/,40.692026,31.620695
ABANT İZZET BAYSAL ÜNİVERSİTESİ BOLU İZZET BAYSAL RUH SAĞLIĞI VE HASTALIKLARI EĞİTİM VE ARAŞTIRMA HASTANESİ BAŞHEKİMLİĞİ,Hizmet,Kamu,İzzet Baysal Ruh Sağlığı ve Hastalıkları Hastanesi,"Psikiyatri kliniği, Ruh ve sinir hastalıkları hastaneleri, Hastaneler",+90 374 275 25 25,https://boluruhsagligi.saglik.gov.tr/,40.749001,31.564808
ABDİ SÜTCÜ SAĞLIK HİZMETLERİ MESLEK YÜKSEKOKULU MÜDÜRLÜĞÜ,Eğitim,Kamu,Çukurova Abdi Sütcü Sağlık Hizmetleri Meslek Yüksekokulu,Yüksekokul,+90 322 338 65 38,Yok,37.052962,35.364762
ABDİOĞULLARI PLASTİK VE AMBALAJ SANAYİ A.Ş.,Hassas Malzemeler ve Ambalaj,Özel,Abdioğulları Plastik ve Ambalaj,Plastik ürün üreticileri,+90 322 394 36 27,http://www.abco.com.tr/,36.977687,35.609849
ABDULLAH GÜL ÜNİVERSİTESİ REKTÖRLÜĞÜ,Eğitim,Kamu,Abdullah Gül Üniversitesi,Üniversiteler,+90 352 224 88 00,http://agu.edu.tr/null,38.736656,35.473825
ABDULLAHOĞLU ELEKTRİK SANAYİ VE TİCARET A.Ş.,Elektrik,Özel,Abdullahoğlu Elektrik Aydınlatma San,Elektrikli cihazların tamiri,+90 212 657 35 00,Yok,41.069031,28.325453
ACERPRO,Şirketin faaliyet alanı,Kamu veya Özel,Acerpro Bilişm Teknolojileri,Yazılım firmaları,+90 212 274 22 37,http://www.acerpro.com.tr/,41.020302,28.89027
ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,Eğitim,Kamu,Acıbadem Üniversitesi,Üniversiteler,+90 216 500 44 44,Yok,40.978366,29.110063
ACIGÖL BELEDİYE BAŞKANLIĞI,Kamu,Kamu,Acıgöl Belediyesi,"Belediyeler, Devlet Daireleri",+90 384 311 20 02,Yok,38.545173,34.506739
ACIPAYAM BELEDİYE BAŞKANLIĞI,Kamu,Kamu,Acıpayam Belediyesi,"Belediyeler, Devlet Daireleri",+90 258 518 10 06,Yok,37.427853,29.350657
ACİL ÇAĞRI HİZMETLERİ DAİRE BAŞKANLIĞI,Sağlık,Kamu,,,,,0.0,
ACONPLUS YAZILIM VE YÖNETİM DANIŞMANLIĞI EĞİTİMİ A.Ş.,Yazılım ve Yönetim Danışmanlığı,Özel,,,,,0.0,
AÇÇANA HÖYÜK KAZI BAŞKANLIĞI,Kültür ve Turizm,Kamu,Aççana Höyük,Turistik yerler,Yok,Yok,36.239798,36.381997
AÇIK DENİZ BİLİŞİM VE DANIŞMANLIK A.Ş.,Bilişim,Özel,,,,,0.0,
ADALAR KAYMAKAMLIĞI,İdari,Kamu,Adalar Kaymakamlığı,"Belediyeler, Devlet Daireleri",+90 216 382 50 05,Yok,40.870036,29.120581
ADANA AİLE VE SOSYAL HİZMETLER İL MÜDÜRLÜĞÜ,Sosyal Hizmetler,Kamu,Adana Aile Çalışma ve Sosyal Hizmetler İl Müdürlüğü,Devlet kurumları ve bakanlıklar,+90 322 458 84 24,https://aile.gov.tr/Adana,37.032877,35.30763
ADANA ALADAĞ İLÇE DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,,,,,0.0,
ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ REKTÖRLÜĞÜ,Eğitim,Kamu,Adana Alparslan Türkeş Bilim ve Teknoloji Üniversitesi Rektörlük Binası,Adlandırılmış bina,Yok,Yok,37.038062,35.385184
ADANA BİYOLOJİK MÜCADELE ARAŞTIRMA ENSTİTÜSÜ MÜDÜRLÜĞÜ,Kamu,Kamu,Biyolojik Mücadele Araştırma Enstitüsü Müdürlüğü,Devlet kurumları ve bakanlıklar,+90 322 344 17 02,https://arastirma.tarimorman.gov.tr/bmae,37.011645,35.342644
ADANA CEYHAN DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Adana Ceyhan Devlet Hastanesi,Hastaneler,+90 322 613 33 62,Yok,37.018318,35.837221
"ADANA ÇEVRE, ŞEHİRCİLİK VE İKLİM DEĞİŞİKLİĞİ İL MÜDÜRLÜĞÜ",Kamu,Kamu,Adana Çevre ve Şehircilik İl Müdürlüğü,"Belediyeler, Devlet Daireleri",+90 322 235 07 17,https://adana.csb.gov.tr/,37.035975,35.318181
ADANA ÇUKUROVA DEVLET HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Adana Çukurova Devlet Hastanesi,Hastaneler,+90 322 460 43 50,https://cukurovadh.saglik.gov.tr/,37.06029,35.279772
ADANA DEFTERDARLIĞI,İdari,Kamu,Adana Defterdarlığı,Devlet kurumları ve bakanlıklar,+90 322 352 17 17,https://adana.gib.gov.tr/,36.986629,35.361998
ADANA DOĞU AKDENİZ TARIMSAL ARAŞTIRMA ENSTİTÜSÜ MÜDÜRLÜĞÜ,Araştırma,Kamu,,,,,0.0,
ADANA DR. EKREM TOK RUH SAĞLIĞI VE HASTALIKLARI HASTANESİ BAŞHEKİMLİĞİ,Sağlık,Kamu,Adana Dr. Ekrem Tok Ruh Sağlığı Ve Hastalıkları Hastanesi,"Uzmanlık hastaneleri, Psikiyatri kliniği",+90 322 239 04 75,http://ekremtokrsh.saglik.gov.tr/,37.051945,35.262078
